"osm_id","date_time","link_dir","speed_kmph","n_time","n_day","stores","n_month","highway","road_lt_m","bus_stop"
13769164,"2018-01-01 00:00:00",1,25,"00:00","MONDAY   ","CLOSED","JANUARY  ","primary",72,"no"
13769164,"2018-01-18 11:30:00",1,10,"11:30","THURSDAY ","OPEN","JANUARY  ","primary",72,"no"
13769164,"2018-01-03 14:45:00",1,21,"14:45","WEDNESDAY","OPEN","JANUARY  ","primary",72,"no"
197107696,"2018-01-01 00:00:00",1,35,"00:00","MONDAY   ","CLOSED","JANUARY  ",NULL,NULL,NULL
176665188,"2018-01-01 00:00:00",1,26,"00:00","MONDAY   ","CLOSED","JANUARY  ","primary",542,"yes"
13769164,"2018-01-01 00:15:00",1,22,"00:15","MONDAY   ","CLOSED","JANUARY  ","primary",72,"no"
197107696,"2018-01-01 00:15:00",1,42,"00:15","MONDAY   ","CLOSED","JANUARY  ",NULL,NULL,NULL
174019380,"2018-01-01 00:15:00",1,26,"00:15","MONDAY   ","CLOSED","JANUARY  ","primary",42,"no"
176665188,"2018-01-01 00:15:00",1,27,"00:15","MONDAY   ","CLOSED","JANUARY  ","primary",542,"yes"
197107696,"2018-01-01 00:30:00",1,23,"00:30","MONDAY   ","CLOSED","JANUARY  ",NULL,NULL,NULL
13769164,"2018-01-01 00:30:00",1,12,"00:30","MONDAY   ","CLOSED","JANUARY  ","primary",72,"no"
174019380,"2018-01-01 00:30:00",1,15,"00:30","MONDAY   ","CLOSED","JANUARY  ","primary",42,"no"
176665188,"2018-01-01 00:30:00",1,26,"00:30","MONDAY   ","CLOSED","JANUARY  ","primary",542,"yes"
176665188,"2018-01-01 00:45:00",1,10,"00:45","MONDAY   ","CLOSED","JANUARY  ","primary",542,"yes"
13769164,"2018-01-01 00:45:00",1,4,"00:45","MONDAY   ","CLOSED","JANUARY  ","primary",72,"no"
174019380,"2018-01-01 00:45:00",1,15,"00:45","MONDAY   ","CLOSED","JANUARY  ","primary",42,"no"
174019380,"2018-01-01 01:00:00",1,6,"01:00","MONDAY   ","CLOSED","JANUARY  ","primary",42,"no"
197107696,"2018-01-01 00:45:00",1,18,"00:45","MONDAY   ","CLOSED","JANUARY  ",NULL,NULL,NULL
13769164,"2018-01-01 01:00:00",1,5,"01:00","MONDAY   ","CLOSED","JANUARY  ","primary",72,"no"
176665188,"2018-01-01 01:00:00",1,12,"01:00","MONDAY   ","CLOSED","JANUARY  ","primary",542,"yes"
176665188,"2018-01-01 01:15:00",1,9,"01:15","MONDAY   ","CLOSED","JANUARY  ","primary",542,"yes"
197107696,"2018-01-01 01:00:00",1,13,"01:00","MONDAY   ","CLOSED","JANUARY  ",NULL,NULL,NULL
13769164,"2018-01-01 01:15:00",1,5,"01:15","MONDAY   ","CLOSED","JANUARY  ","primary",72,"no"
174019380,"2018-01-01 01:15:00",1,8,"01:15","MONDAY   ","CLOSED","JANUARY  ","primary",42,"no"
13769164,"2018-01-01 01:30:00",1,5,"01:30","MONDAY   ","CLOSED","JANUARY  ","primary",72,"no"
197107696,"2018-01-01 01:15:00",1,12,"01:15","MONDAY   ","CLOSED","JANUARY  ",NULL,NULL,NULL
174019380,"2018-01-01 01:30:00",1,4,"01:30","MONDAY   ","CLOSED","JANUARY  ","primary",42,"no"
197107696,"2018-01-01 01:30:00",1,9,"01:30","MONDAY   ","CLOSED","JANUARY  ",NULL,NULL,NULL
176665188,"2018-01-01 01:30:00",1,6,"01:30","MONDAY   ","CLOSED","JANUARY  ","primary",542,"yes"
13769164,"2018-01-01 01:45:00",1,9,"01:45","MONDAY   ","CLOSED","JANUARY  ","primary",72,"no"
176665188,"2018-01-01 01:45:00",1,7,"01:45","MONDAY   ","CLOSED","JANUARY  ","primary",542,"yes"
174019380,"2018-01-01 01:45:00",1,5,"01:45","MONDAY   ","CLOSED","JANUARY  ","primary",42,"no"
197107696,"2018-01-01 01:45:00",1,5,"01:45","MONDAY   ","CLOSED","JANUARY  ",NULL,NULL,NULL
176665188,"2018-01-01 02:00:00",1,9,"02:00","MONDAY   ","CLOSED","JANUARY  ","primary",542,"yes"
13769164,"2018-01-01 02:00:00",1,4,"02:00","MONDAY   ","CLOSED","JANUARY  ","primary",72,"no"
174019380,"2018-01-01 02:00:00",1,11,"02:00","MONDAY   ","CLOSED","JANUARY  ","primary",42,"no"
174019380,"2018-01-01 02:15:00",1,15,"02:15","MONDAY   ","CLOSED","JANUARY  ","primary",42,"no"
197107696,"2018-01-01 02:00:00",1,7,"02:00","MONDAY   ","CLOSED","JANUARY  ",NULL,NULL,NULL
13769164,"2018-01-01 02:15:00",1,8,"02:15","MONDAY   ","CLOSED","JANUARY  ","primary",72,"no"
